年月日,星期,未調整收盤價(元),日報酬率 %,近一週報酬率 %,近一月報酬率 %,近一季報酬率 %,近一年報酬率 %,本週以來報酬率 %,本月以來報酬率 %,本季以來報酬率 %,本年以來報酬率 %,超額報酬(日)-大盤,超額報酬(週)-大盤,超額報酬(月)-大盤,超額報酬(季)-大盤,超額報酬(年)-大盤,超額報酬(日)-MSCI,超額報酬(週)-MSCI,超額報酬(月)-MSCI,超額報酬(季)-MSCI
2023/07/20,4,58.6,4.0853,13.1275,17.2969,15.9437,32.7154,11.407,13.1154,13.1154,32.3617,3.8022,12.5209,17.4133,6.6656,16.2111,4.0792,12.7761,17.5703,6.055
2023/07/19,3,56.3,0.7156,8.6873,10.5424,10.1223,28.4489,7.0343,8.6756,8.6756,27.1666,1.3626,7.7771,11.4577,1.5877,11.964,1.3482,7.5126,11.4867,0.3701
2023/07/18,2,55.9,0,7.5001,9.5479,9.1324,28.6228,6.2738,7.9035,7.9035,26.263,0.6137,5.5533,9.9007,0.5723,11.5829,0.584,5.1475,10.011,-0.4527
2023/07/17,1,55.9,6.2738,9.5477,9.5479,8.9257,28.8973,6.2738,7.9035,7.9035,26.263,5.9812,5.4555,9.2854,0.3392,9.7667,6.0577,4.7175,9.4263,-0.5227
2023/07/14,5,52.6,1.5444,4.4737,3.0808,4.2727,19.7543,4.4737,1.5335,1.5335,18.8092,0.2414,0.7562,2.8165,-4.2289,0.049,0.1861,-0.0386,3.1526,-5.0741
2023/07/13,4,51.8,0,2.2923,0.7455,2.4893,18.0573,2.8847,-0.0108,-0.0108,17.0022,-0.5858,0.5072,1.647,-5.4615,-1.0473,-0.8266,-0.3221,2.1787,-6.2953
2023/07/12,3,51.8,-0.3846,0.7453,1.1279,4.4989,18.8092,2.8847,-0.0108,-0.0108,17.0022,-0.7581,1.2988,1.0885,-1.9596,-2.7767,-0.9088,1.1196,1.371,-2.3069
2023/07/11,2,52,1.9048,0.3753,0.0003,4.086,18.2636,3.2819,0.3753,0.3753,17.4539,0.4269,1.7863,-0.0738,-2.1036,0.4236,0.0823,1.8112,0.0018,-1.9475
2023/07/10,1,52.5,1.3514,-1.5009,-1.8689,0.962,16.7906,1.3514,-1.5009,-1.5009,15.2585,1.4199,1.0242,-0.4856,-3.9297,1.6624,1.4392,1.2677,-0.0776,-3.2316
2023/07/07,5,51.8,-0.5758,-2.8143,-2.8141,-0.1923,13.431,-2.8143,-2.8143,-2.8143,13.7216,0.0086,-1.3286,-1.288,-5.4188,-2.8069,-0.0935,-1.0124,-0.8809,-4.549
2023/07/06,4,52.1,-1.5123,-1.3258,-1.3256,0.3857,13.7321,-2.2515,-2.2515,-2.2515,14.3802,0.2129,-0.2627,-1.3287,-5.6315,-6.1215,0.5977,0.1671,-0.9354,-4.5145
2023/07/05,3,52.9,-0.7505,0.3796,-0.1885,3.523,13.7055,-0.7505,-0.7505,-0.7505,16.1366,-0.2585,-0.3338,-2.2348,-3.966,-5.161,-0.2035,-0.1257,-2.4159,-2.9741
2023/07/04,2,53.3,0,2.5001,0.1882,4.3058,15.0363,0,0,0,17.0148,-0.3311,1.0027,-2.4088,-3.7146,-5.5281,-0.4457,1.1323,-2.3819,-2.777
2023/07/03,1,53.3,0,2.1074,0.1882,4.3058,18.1946,0,0,0,17.0148,-0.9971,1.9611,-2.0702,-3.3582,-0.9161,-0.9056,2.0632,-1.9268,-2.3019
2023/06/30,5,53.3,0.947,2.3034,0.0003,5.9648,17.6975,2.3034,1.5241,4.3058,17.0148,1.1049,3.9709,-1.7611,-0.7615,3.6021,1.1161,4.115,-1.2503,0.2812
2023/06/29,4,52.8,0.1898,1.3437,0.0003,5.1798,16.839,1.3437,0.5717,3.3273,15.917,0.1504,2.8557,-1.8389,-2.2553,5.6704,0.3142,2.989,-1.3839,-1.3329
2023/06/28,3,52.7,1.3462,1.1517,-0.753,4.7718,15.5221,1.1517,0.3812,3.1315,15.6975,1.0636,2.7025,-3.3617,-3.088,5.8352,1.0397,2.6745,-2.9565,-2.4318
2023/06/27,2,52,-0.3831,1.1674,-2.0713,3.5861,14.226,-0.1919,-0.9522,1.7616,14.1606,0.6213,2.8957,-4.3909,-3.0945,5.6087,0.4827,3.0326,-3.9626,-2.3967
2023/06/26,1,52.2,0.1919,-0.3817,-1.6947,4.6096,14.9057,0.1919,-0.5713,2.1529,14.5997,1.0241,0.8648,-5.0524,-2.5819,3.4319,1.1582,1.2865,-4.4758,-1.3921
2023/06/21,3,52.1,1.3619,-0.7619,-1.883,3.9924,15.5333,-0.7619,-0.7617,1.9573,14.3802,1.2601,-0.5545,-8.2352,-6.8943,6.1638,1.4042,0.0733,-8.6823,-6.3125
2023/06/20,2,51.4,-1.9084,-2.8355,-3.2013,3.525,14.8298,-2.0953,-2.0951,0.5874,12.8433,-1.3894,-2.6514,-9.4454,-7.9204,3.0045,-1.2417,-2.0199,-10.0458,-7.5138
2023/06/19,1,52.4,-0.1905,-0.5692,-1.3181,5.1157,15.5882,-0.1905,-0.1903,2.5443,15.0387,-0.1075,-2.4517,-8.1164,-6.672,5.1463,-0.0406,-2.4602,-8.8797,-5.9914
2023/06/16,5,52.5,-0.7561,-1.8691,-0.9432,5.0004,13.1931,-1.8691,0.0002,2.7401,15.2583,-0.4903,-4.2526,-11.247,-8.5842,4.0367,-0.3381,-4.6964,-12.4423,-8.2151
2023/06/15,4,52.9,0.7619,-1.1214,0.1895,5.1693,13.3572,-1.1214,0.762,3.5228,16.1364,0.2001,-4.7147,-11.8294,-7.4859,5.0088,0.3195,-5.4159,-13.3144,-7.4755
2023/06/14,3,52.5,-0.7561,-1.5009,0.0001,3.9608,15.4451,-1.8691,0.0001,2.74,15.2583,-0.8812,-3.3662,-11.1967,-8.2633,8.0251,-0.7336,-4.0664,-12.9006,-8.4128
2023/06/13,2,52.9,0.3795,0.1894,0.762,5.5891,15.9603,-1.1215,0.762,3.5228,16.1364,-1.1612,-2.5248,-10.2959,-5.0535,8.8321,-1.6644,-3.5108,-12.1642,-5.2317
2023/06/12,1,52.7,-1.4953,-0.5661,0.381,4.7717,13.5076,-1.4953,0.3811,3.1314,15.6973,-1.9037,-2.0076,-8.9917,-4.4328,10.4991,-2.263,-2.659,-10.2832,-4.2369
2023/06/09,5,53.5,0,0.5639,1.518,4.6969,14.6428,0.5639,1.9048,4.6969,17.4536,-0.9126,-0.5105,-5.8492,-2.3775,13.0483,-1.0028,-0.5349,-6.3151,-1.787
2023/06/08,4,53.5,0.3752,1.5181,0,4.2887,14.6428,0.5639,1.9048,4.6969,17.4536,1.4908,0.1794,-6.5869,-1.4986,14.2641,1.5979,0.0182,-7.3748,-0.8584
2023/06/07,3,53.3,0.947,1.5239,0.9471,4.1018,15.0359,0.188,1.5239,4.3056,17.0145,-0.0125,-0.5481,-7.3493,-2.6112,12.5557,-0.1366,-0.5275,-8.3379,-1.8594
2023/06/06,2,52.8,-0.3774,-0.938,0.0001,2.9242,13.4902,-0.7519,0.5715,3.3271,15.9168,-0.66,-1.7736,-7.2671,-3.4074,12.5529,-0.8397,-1.2374,-8.1134,-2.5353
2023/06/05,1,53,-0.3759,0.379,0.3789,5.578,14.5061,-0.3759,0.9525,3.7185,16.3559,-0.4209,-0.0906,-6.586,-1.5076,13.5287,-0.1624,0.5785,-7.237,-0.52
2023/06/02,5,53.2,0.9488,0.1884,2.7028,6.4002,14.9382,0.1884,1.3334,4.1098,16.795,-0.2276,-1.0345,-4.1428,-0.7037,14.0062,-0.4546,-0.5084,-5.089,0.1879
2023/06/01,4,52.7,0.381,-1.1256,2.7291,3.1313,12.6985,-0.7532,0.381,3.1313,15.6972,0.781,-2.4799,-3.2626,-2.7289,13.673,1.0669,-2.6059,-3.8232,-1.3689
2023/05/31,3,52.5,-1.5009,-2.5974,2.3392,3.7551,11.5889,-1.1299,2.3392,2.7399,15.2581,-1.2375,-5.1942,-4.0782,-3.1795,12.9505,-0.8491,-6.1336,-4.949,-2.7171
2023/05/30,2,53.3,0.947,-1.2963,3.8986,5.3361,14.4477,0.3766,3.8986,4.3054,17.0144,1.0285,-3.9817,-2.7998,-1.8809,14.375,0.9844,-5.0414,-4.0935,-1.8347
2023/05/29,1,52.8,-0.565,-1.676,2.9239,4.3479,14.309,-0.565,2.9239,3.3269,15.9166,-1.3602,-4.4904,-3.8615,-2.9565,12.0341,-1.2477,-5.4364,-5.1086,-2.8629
2023/05/26,5,53.1,-0.3752,0,3.5087,4.9408,15.0772,0,3.5088,3.914,16.5753,-1.6829,-2.041,-3.8437,-1.5171,11.7195,-2.5676,-2.9054,-5.3513,-1.5431
2023/05/25,4,53.3,-1.1132,0.3766,4.7151,5.336,17.2039,0.3766,3.8986,4.3054,17.0143,-1.9343,-0.8041,-1.2785,0.2523,16.0369,-2.4393,-0.7375,-1.4305,1.1366
2023/05/24,3,53.9,-0.1852,0.7476,5.0683,6.5218,20.2867,1.5066,5.0682,5.4796,18.3316,-0.0078,-0.7219,1.661,2.294,19.0611,0.2662,-0.3481,2.0136,3.6861
2023/05/23,2,54,0.5587,1.8868,5.0584,8.981,19.2428,1.6949,5.2632,5.6753,18.5512,0.5146,-1.3934,1.3089,5.3142,19.0472,0.5813,-1.443,1.6767,6.7197
2023/05/22,1,53.7,1.1299,1.7045,4.4747,9.4803,18.8301,1.1299,4.6783,5.0881,17.8925,1.093,-2.8567,0.7709,4.5377,18.607,1.2769,-3.0673,1.0696,5.7423
2023/05/19,5,53.1,0,1.1428,0.9506,12.8589,18.5014,1.1428,3.5088,3.914,16.5753,-0.4536,-3.1957,-1.6139,8.3679,17.5366,-0.4135,-3.6873,-2.0588,9.9319
2023/05/18,4,53.1,-0.7477,2.1153,0.759,12.8589,17.3788,1.1428,3.5088,3.914,16.5753,-1.8566,-1.6698,-0.7056,8.8397,18.5753,-2.0554,-1.8466,-1.022,10.3557
2023/05/17,3,53.5,0.9434,0.3752,1.3258,13.7091,19.7759,1.9047,4.2885,4.6968,17.4535,-0.6605,-1.4374,1.5655,10.8307,20.5907,-0.8051,-1.624,1.5699,12.529
