年月日,星期,未調整收盤價(元),日報酬率 %,近一週報酬率 %,近一月報酬率 %,近一季報酬率 %,近一年報酬率 %,本週以來報酬率 %,本月以來報酬率 %,本季以來報酬率 %,本年以來報酬率 %,超額報酬(日)-大盤,超額報酬(週)-大盤,超額報酬(月)-大盤,超額報酬(季)-大盤,超額報酬(年)-大盤,超額報酬(日)-MSCI,超額報酬(週)-MSCI,超額報酬(月)-MSCI,超額報酬(季)-MSCI
2023/07/20,4,34.92,0.316,0.8374,2.2548,12.7175,21.2039,-0.3993,3.2831,3.2831,23.9174,0.0329,0.2308,2.3712,3.4394,4.6996,0.3099,0.486,2.5282,2.8288
2023/07/19,3,34.81,-0.7697,1.5757,1.5165,12.2538,21.4236,-0.7131,2.9578,2.9578,23.527,-0.1227,0.6654,2.4318,3.7192,4.9387,-0.1371,0.401,2.4608,2.5015
2023/07/18,2,35.08,-0.2275,3.025,2.2443,12.2198,22.3248,0.0571,3.7564,3.7564,24.4852,0.3862,1.0782,2.5971,3.6598,5.2848,0.3565,0.6724,2.7074,2.6348
2023/07/17,1,35.16,0.2852,4.674,2.4774,12.0456,24.1276,0.2852,3.993,3.993,24.769,-0.0074,0.5818,2.2149,3.4592,4.997,0.0691,-0.1561,2.3558,2.5973
2023/07/14,5,35.06,1.2417,4.4075,2.6948,11.4783,24.4013,4.4075,3.6972,3.6972,24.4142,-0.0613,0.69,2.4304,2.9767,4.6961,-0.1166,-0.1048,2.7666,2.1315
2023/07/13,4,34.63,1.0505,2.6683,1.465,11.0289,23.6689,3.1269,2.4254,2.4254,22.8883,0.4647,0.8832,2.3665,3.0781,4.5643,0.2239,0.0539,2.8981,2.2443
2023/07/12,3,34.27,0.6461,-0.1166,2.0244,9.1398,26.1555,2.0549,1.3606,1.3606,21.6108,0.2726,0.4369,1.9851,2.6813,4.5695,0.1219,0.2577,2.2675,2.334
2023/07/11,2,34.05,1.3695,-1.1898,1.9766,8.4392,22.1371,1.3997,0.7099,0.7099,20.8301,-0.1084,0.2212,1.9025,2.2495,4.2971,-0.453,0.2461,1.9781,2.4057
2023/07/10,1,33.59,0.0298,-2.07,0.5989,7.1789,19.5486,0.0298,-0.6507,-0.6507,19.1977,0.0983,0.4552,1.9823,2.2873,4.4203,0.1176,0.6987,2.3903,2.9854
2023/07/07,5,33.58,-0.4447,-0.6803,0.5088,7.3182,20.5746,-0.6803,-0.6803,-0.6803,19.1622,0.1397,0.8055,2.0349,2.0917,4.3367,0.0376,1.1216,2.442,2.9615
2023/07/06,4,33.73,-1.6905,-0.1185,1.9341,7.7976,24.211,-0.2366,-0.2366,-0.2366,19.6945,0.0347,0.9446,1.9309,1.7803,4.3574,0.4195,1.3743,2.3242,2.8974
2023/07/05,3,34.31,-0.4353,1.5088,4.1275,9.0587,23.7879,1.4789,1.4789,1.4789,21.7527,0.0567,0.7954,2.0812,1.5698,4.9214,0.1117,1.0035,1.9001,2.5616
2023/07/04,2,34.46,0.4665,2.1945,4.4243,9.5355,25.0158,1.9226,1.9226,1.9226,22.285,0.1354,0.6971,1.8273,1.5151,4.4514,0.0208,0.8266,1.8541,2.4527
2023/07/03,1,34.3,1.4493,0.8823,3.9394,9.0269,23.5397,1.4493,1.4493,1.4493,21.7172,0.4522,0.7359,1.681,1.363,4.429,0.5437,0.838,1.8244,2.4192
2023/06/30,5,33.81,0.1184,-1.0537,2.7034,7.709,18.1313,-1.0537,3.205,7.4694,19.9783,0.2763,0.6139,0.942,0.9827,4.0359,0.2875,0.758,1.4528,2.0255
