年月日,星期,未調整收盤價(元),日報酬率 %,近一週報酬率 %,近一月報酬率 %,近一季報酬率 %,近一年報酬率 %,本週以來報酬率 %,本月以來報酬率 %,本季以來報酬率 %,本年以來報酬率 %,超額報酬(日)-大盤,超額報酬(週)-大盤,超額報酬(月)-大盤,超額報酬(季)-大盤,超額報酬(年)-大盤,超額報酬(日)-MSCI,超額報酬(週)-MSCI,超額報酬(月)-MSCI,超額報酬(季)-MSCI
2023/07/20,4,79.1,-0.2522,-2.104,-9.0804,-5.983,-3.0239,-3.0637,-6.1684,-6.1684,-0.2461,-0.5353,-2.7106,-8.9639,-15.2611,-19.5282,-0.2583,-2.4554,-8.8069,-15.8717
2023/07/19,3,79.3,-0.6266,-0.2516,-8.9551,-6.1858,-5.1891,-2.8186,-5.9312,-5.9312,0.0061,0.0204,-1.1619,-8.0398,-14.7203,-21.6741,0.006,-1.4264,-8.0108,-15.938
2023/07/18,2,79.8,-1.2376,-0.3746,-7.6387,-6.5765,-4.0248,-2.2059,-5.338,-5.338,0.6367,-0.6239,-2.3213,-7.2859,-15.1365,-21.0647,-0.6536,-2.7272,-7.1756,-16.1615
2023/07/17,1,80.8,-0.9804,2.0202,-6.4814,-6.7001,-0.3364,-0.9804,-4.1518,-4.1518,1.8978,-1.273,-2.0721,-6.7438,-15.2866,-19.467,-1.1965,-2.81,-6.6029,-16.1485
2023/07/14,5,81.6,0.9901,2.1276,-7.0614,-6.3105,-2.0924,2.1276,-3.2028,-3.2028,2.9067,-0.3129,-1.5898,-7.3258,-14.8121,-21.7977,-0.3682,-2.3847,-6.9896,-15.6573
2023/07/13,4,80.8,1.6352,-0.2469,-6.9124,-7.4389,-2.8221,1.1264,-4.1518,-4.1518,1.8978,1.0494,-2.032,-6.0109,-15.3898,-21.9267,0.8086,-2.8613,-5.4792,-16.2235
2023/07/12,3,79.5,-0.7491,-4.5618,-8.7215,-8.0964,-2.7689,-0.5006,-5.6939,-5.6939,0.2584,-1.1226,-4.0083,-8.7609,-14.555,-24.3548,-1.2733,-4.1875,-8.4784,-14.9023
2023/07/11,2,80.1,1.1364,-4.0718,-8.7568,-7.4028,-7.5085,0.2503,-4.9821,-4.9821,1.0151,-0.3415,-2.6608,-8.8309,-13.5925,-25.3485,-0.6861,-2.6359,-8.7553,-13.4363
2023/07/10,1,79.2,-0.8761,-6.0498,-9.782,-8.3386,-10.2869,-0.8761,-6.0498,-6.0498,-0.1199,-0.8076,-3.5247,-8.3987,-13.2303,-25.4151,-0.7883,-3.2812,-7.9907,-12.5322
2023/07/07,5,79.9,-1.358,-5.2194,-8.9846,-6.7827,-9.595,-5.2194,-5.2194,-5.2194,0.7628,-0.7736,-3.7337,-7.4585,-12.0092,-25.833,-0.8757,-3.4175,-7.0514,-11.1394
2023/07/06,4,81,-2.7611,-5.041,-7.4192,-4.6203,-9.1624,-3.9146,-3.9146,-3.9146,2.15,-1.0359,-3.9779,-7.4223,-10.6376,-29.016,-0.6511,-3.5481,-7.029,-9.5206
2023/07/05,3,83.3,-0.2395,-2.3446,-3.7034,-0.758,-9.5868,-1.1862,-1.1862,-1.1862,5.0506,0.2525,-3.058,-5.7497,-8.2469,-28.4532,0.3075,-2.8499,-5.9308,-7.2551
2023/07/04,2,83.5,-0.949,-3.3564,-2.9181,-0.5197,-10.8977,-0.949,-0.949,-0.949,5.3028,-1.2801,-4.8538,-5.5151,-8.5402,-31.4621,-1.3947,-4.7242,-5.4882,-7.6026
2023/07/03,1,84.3,0,-2.8801,-1.988,0.4334,-8.2062,0,0,0,6.3117,-0.9971,-3.0264,-4.2463,-7.2306,-27.317,-0.9056,-2.9244,-4.103,-6.1743
2023/06/30,5,84.3,-1.1723,-3.657,-1.194,0.7891,-8.9891,-3.657,-0.9647,0.4334,6.3117,-1.0144,-1.9895,-2.9554,-5.9372,-23.0846,-1.0032,-1.8454,-2.4446,-4.8944
2023/06/29,4,85.3,0,-2.5142,0.0939,1.9847,-9.7379,-2.5142,0.2101,1.6247,7.5728,-0.0394,-1.0022,-1.7453,-5.4504,-20.9066,0.1244,-0.8689,-1.2903,-4.528
2023/06/28,3,85.3,-1.2731,-2.5142,-0.2528,2.4686,-10.02,-2.5142,0.2101,1.6247,7.5728,-1.5557,-0.9634,-2.8615,-5.3912,-19.7069,-1.5796,-0.9914,-2.4563,-4.735
2023/06/27,2,86.4,-0.4608,-0.6896,1.0335,4.1606,-8.0938,-1.2571,1.5023,2.9352,8.9599,0.5436,1.0387,-1.2861,-2.52,-16.7112,0.405,1.1756,-0.8577,-1.8222
2023/06/26,1,86.8,-0.8,-0.3444,1.5012,5.6489,-7.474,-0.8,1.9722,3.4117,9.4643,0.0322,0.902,-1.8565,-1.5426,-18.9477,0.1663,1.3237,-1.2799,-0.3528
2023/06/21,3,87.5,0.5747,-0.3418,-1.3265,8.4562,-5.6351,1.2732,2.7945,4.2457,10.3471,0.4729,-0.1344,-7.6787,-2.4305,-15.0046,0.617,0.4934,-8.1257,-1.8487
2023/06/20,2,87,-0.1148,0.2304,-1.8903,8.1011,-2.9972,0.6945,2.2071,3.65,9.7166,0.4042,0.4145,-8.1344,-3.3443,-14.8225,0.5519,1.0459,-8.7348,-2.9377
2023/06/19,1,87.1,0.8102,0.0043,-1.7776,7.9604,-4.4032,0.8102,2.3246,3.7691,9.8427,0.8932,-1.8782,-8.5759,-3.8273,-14.845,0.9601,-1.8867,-9.3391,-3.1466
2023/06/16,5,86.4,-0.6897,-1.5805,-0.7995,7.2239,-4.9735,-1.5805,1.5022,2.9351,8.9599,-0.4239,-3.9641,-11.1032,-6.3607,-14.1298,-0.2717,-4.4079,-12.2985,-5.9915
2023/06/15,4,87,-0.9112,0.3446,3.2855,7.1805,-5.3997,-0.897,2.2072,3.65,9.7166,-1.473,-3.2487,-8.7334,-5.4747,-13.7482,-1.3536,-3.9499,-10.2185,-5.4643
