年月日,星期,未調整收盤價(元),日報酬率 %,近一週報酬率 %,近一月報酬率 %,近一季報酬率 %,近一年報酬率 %,本週以來報酬率 %,本月以來報酬率 %,本季以來報酬率 %,本年以來報酬率 %,超額報酬(日)-大盤,超額報酬(週)-大盤,超額報酬(月)-大盤,超額報酬(季)-大盤,超額報酬(年)-大盤,超額報酬(日)-MSCI,超額報酬(週)-MSCI,超額報酬(月)-MSCI,超額報酬(季)-MSCI
2023/07/20,4,69.7,1.3081,-0.1433,9.5911,15.2065,30.9208,-1.9691,2.8022,2.8022,39.122,1.025,-0.7499,9.7075,5.9284,14.4165,1.302,-0.4947,9.8645,5.3177
2023/07/19,3,68.8,-3.3708,-0.578,7.3323,15.2427,29.2303,-3.2349,1.4748,1.4748,37.3256,-2.7238,-1.4883,8.2476,6.7082,12.7454,-2.7382,-1.7528,8.2766,5.4905
2023/07/18,2,71.2,0.4231,2.5937,10.2167,19.0634,36.9227,0.1406,5.0146,5.0146,42.1161,1.0368,0.6469,10.5696,10.5034,19.8828,1.0071,0.2411,10.6799,9.4784
2023/07/17,1,70.9,-0.2813,4.2647,9.7524,17.774,36.596,-0.2813,4.5722,4.5722,41.5173,-0.5739,0.1725,9.4899,9.1875,17.4654,-0.4974,-0.5654,9.6308,8.3256
2023/07/14,5,71.1,1.8625,4.5589,11.6171,19.6968,35.9833,4.5589,4.8672,4.8672,41.9165,0.5595,0.8414,11.3527,11.1953,16.2781,0.5042,0.0466,11.6889,10.3501
2023/07/13,4,69.8,0.8671,2.346,9.4045,18.305,32.0537,2.6471,2.9497,2.9497,39.3217,0.2813,0.5609,10.306,10.3541,12.9491,0.0405,-0.2684,10.8376,9.5204
2023/07/12,3,69.2,-0.2882,0.1446,8.9764,18.6962,34.3064,1.7647,2.0647,2.0647,38.124,-0.6617,0.6981,8.9371,12.2377,12.7205,-0.8124,0.5189,9.2195,11.8904
2023/07/11,2,69.4,2.0588,0.5796,9.4637,19.0393,32.7318,2.0588,2.3597,2.3597,38.5232,0.5809,1.9905,9.3896,12.8496,14.8918,0.2363,2.0155,9.4652,13.0058
2023/07/10,1,68,0,-1.4494,7.2555,15.8432,30.7689,0,0.2949,0.2949,35.7288,0.0685,1.0757,8.6389,10.9515,15.6407,0.0878,1.3192,9.0469,11.6496
2023/07/07,5,68,-0.2933,0.2949,7.9365,16.638,28.8806,0.2949,0.2949,0.2949,35.7288,0.2911,1.7806,9.4626,11.4115,12.6427,0.189,2.0967,9.8697,12.2812
2023/07/06,4,68.2,-1.3025,0.8875,9.2949,18.1976,29.2597,0.5899,0.5899,0.5899,36.1281,0.4227,1.9506,9.2917,12.1803,9.4061,0.8075,2.3804,9.685,13.2973
2023/07/05,3,69.1,0.1449,1.7673,10.3834,23.3929,28.6435,1.9174,1.9174,1.9174,37.9246,0.6369,1.0539,8.3372,15.904,9.7771,0.6919,1.2621,8.1561,16.8958
2023/07/04,2,69,0,3.4483,10.0479,23.2144,31.7273,1.7699,1.7699,1.7699,37.725,-0.3311,1.951,7.451,15.194,11.1629,-0.4457,2.0805,7.4778,16.1315
2023/07/03,1,69,1.7699,5.9909,10.0479,23.2144,32.4497,1.7699,1.7699,1.7699,37.725,0.7728,5.8445,7.7895,15.5504,13.3389,0.8643,5.9466,7.9329,16.6067
2023/06/30,5,67.8,0.2959,4.9537,8.1341,21.7236,26.8984,4.9537,8.8284,21.0715,35.3298,0.4538,6.6212,6.3726,14.9973,12.803,0.465,6.7653,6.8834,16.0401
2023/06/29,4,67.6,-0.4418,4.644,6.9621,20.7143,24.5264,4.644,8.5073,20.7143,34.9305,-0.4812,6.1561,5.1228,13.2792,13.3577,-0.3174,6.2894,5.5779,14.2017
2023/06/28,3,67.9,1.7991,5.1084,7.9491,21.6846,25.079,5.1084,8.9888,21.25,35.5293,1.5165,6.6592,5.3404,13.8248,15.3921,1.4926,6.6312,5.7456,14.481
2023/06/27,2,66.7,2.4578,4.8742,6.0413,19.1072,22.6533,3.2508,7.0627,19.1071,33.1341,3.4622,6.6025,3.7218,12.4266,14.0359,3.3236,6.7395,4.1501,13.1244
2023/06/26,1,65.1,0.774,1.5601,3.4976,15.8363,20.1318,0.774,4.4944,16.25,29.9404,1.6062,2.8065,0.1399,8.6448,8.6581,1.7403,3.2282,0.7165,9.8346
2023/06/21,3,64.6,1.5723,1.4129,3.6919,16.187,20.909,0,3.6918,15.3571,28.9424,1.4705,1.6203,-2.6603,5.3003,11.5395,1.6146,2.2481,-3.1074,5.8821
2023/06/20,2,63.6,-0.78,-0.3133,2.0867,16.4835,23.6667,-1.548,2.0867,13.5714,26.9464,-0.261,-0.1292,-4.1573,5.0381,11.8414,-0.1133,0.5022,-4.7577,5.4448
2023/06/19,1,64.1,-0.774,0.9449,2.8893,17.8308,23.9502,-0.774,2.8892,14.4642,27.9444,-0.691,-0.9376,-3.909,6.0431,13.5083,-0.6241,-0.946,-4.6723,6.7237
