年月日,星期,未調整收盤價(元),日報酬率 %,近一週報酬率 %,近一月報酬率 %,近一季報酬率 %,近一年報酬率 %,本週以來報酬率 %,本月以來報酬率 %,本季以來報酬率 %,本年以來報酬率 %,超額報酬(日)-大盤,超額報酬(週)-大盤,超額報酬(月)-大盤,超額報酬(季)-大盤,超額報酬(年)-大盤,超額報酬(日)-MSCI,超額報酬(週)-MSCI,超額報酬(月)-MSCI,超額報酬(季)-MSCI
2023/7/20,4,48.3,-3.1093,4.9999,7.6922,9.2282,26.0114,5.921,7.5722,7.5722,5.2085,-3.8362,3.2918,7.2493,3.8236,1.4523,-3.1154,4.6485,7.9656,-0.6605
2023/7/19,3,49.85,5.9511,7.0891,11.1481,11.6365,29.7284,9.3201,11.0243,11.0243,8.5847,6.09,6.3112,11.6526,9.0069,4.7856,6.5837,5.9143,12.0924,1.8843
2023/7/18,2,47.05,2.3939,4.7883,5.4931,5.1388,22.4418,3.1798,4.7882,4.7882,2.4857,3.2733,4.2205,5.7791,2.2764,-2.4088,2.9779,2.4357,5.9562,-4.4462
2023/7/17,1,45.95,0.7675,1.6592,3.0267,1.4766,18.8328,0.7675,2.3384,2.3384,0.0896,0.4243,-0.2879,2.4281,-1.7844,-9.2901,0.5514,-3.171,2.9052,-7.9717
2023/7/14,5,45.6,-0.8696,1.3333,2.8983,0.4894,17.9277,1.3333,1.5589,1.5589,-0.6727,-2.5324,0.1791,2.4552,-3.2319,-11.0042,-2.2279,-3.179,2.9701,-8.8574
2023/7/13,4,46,-1.1815,1.8826,3.801,1.8042,19.7094,2.2222,2.4498,2.4498,0.1986,-0.9871,3.6451,5.3006,-0.5566,-9.3383,-2.0081,-0.7318,5.2341,-6.9804
2023/7/12,3,46.55,3.6748,2.1953,5.6172,3.1316,22.526,3.4444,3.6747,3.6747,1.3966,4.0218,4.4841,5.6129,1.0401,-8.2565,3.1506,2.5696,5.8604,-3.6742
2023/7/11,2,44.9,-0.6637,-1.3187,1.6509,-0.6302,16.7002,-0.2222,-0.0001,-0.0001,-2.1974,-1.1437,0.5561,1.8355,-3.5046,-10.7905,-2.4862,0.1172,1.6524,-6.6637
2023/7/10,1,45.2,0.4444,-0.5501,2.3301,-0.073,18.671,0.4444,0.668,0.668,-1.544,0.8817,1.5857,2.9915,-3.1344,-7.7675,0.5322,2.2185,4.1214,-4.2665
2023/7/7,5,45,-0.3322,0.2227,1.3236,-0.3023,18.146,0.2227,0.2227,0.2227,-1.9796,0.9363,1.1694,1.4679,-4.4336,-10.9544,0.1501,2.0245,3.2568,-4.659
2023/7/6,4,45.15,-0.8782,0.2218,1.6613,-0.0768,19.4481,0.5567,0.5567,0.5567,-1.6529,-0.1491,-0.7216,-0.7917,-5.9586,-14.4594,1.2318,1.7147,2.0515,-4.9771
