年月日,星期,未調整收盤價(元),日報酬率 %,近一週報酬率 %,近一月報酬率 %,近一季報酬率 %,近一年報酬率 %,本週以來報酬率 %,本月以來報酬率 %,本季以來報酬率 %,本年以來報酬率 %,超額報酬(日)-大盤,超額報酬(週)-大盤,超額報酬(月)-大盤,超額報酬(季)-大盤,超額報酬(年)-大盤,超額報酬(日)-MSCI,超額報酬(週)-MSCI,超額報酬(月)-MSCI,超額報酬(季)-MSCI
2023/7/20,4,71.9,3.6023,12.3438,10.7859,45.6941,136.4962,5.117,11.473,11.473,101.1196,3.3192,11.7372,10.9023,36.416,119.9919,3.5962,11.9923,11.0593,35.8053
2023/7/19,3,69.4,-2.5281,9.1195,8.2683,35.5469,127.203,1.462,7.597,7.597,94.1265,-1.8811,8.2092,9.1837,27.0123,110.7181,-1.8955,7.9447,9.2127,25.7946
2023/7/18,2,71.2,-1.9284,8.0425,7.2289,35.3612,143.7605,4.0936,10.3877,10.3877,99.1615,-1.3147,6.0958,7.5817,26.8012,126.7205,-1.3444,5.6899,7.692,25.7762
2023/7/17,1,72.6,6.1404,10.167,9.3373,37.7609,145.3465,6.1404,12.5583,12.5583,103.0777,5.8478,6.0747,9.0749,29.1744,126.2159,5.9243,5.3368,9.2158,28.3126
2023/7/14,5,68.4,6.875,6.8751,0.2932,31.0345,132.6539,6.8751,6.0466,6.0466,91.3293,5.572,3.1576,0.0288,22.5329,112.9486,5.5167,2.3628,0.365,21.6877
2023/7/13,4,64,0.6289,-1.6896,1.2658,20.5273,117.6878,0.0001,-0.7751,-0.7751,79.0216,0.0431,-3.4747,2.1672,12.5765,98.5832,-0.1977,-4.3041,2.6989,11.7427
2023/7/12,3,63.6,-3.4901,-5.0745,1.5975,21.3741,116.3274,-0.6249,-1.3952,-1.3952,77.9027,-3.8636,-4.5211,1.5581,14.9156,94.7414,-4.0143,-4.7003,1.8406,14.5683
2023/7/11,2,65.9,0,-2.5147,2.0123,34.7649,120.5699,2.9688,2.1706,2.1706,84.3363,-1.4779,-1.1038,1.9382,28.5752,102.7299,-1.8225,-1.0789,2.0138,28.7314
2023/7/10,1,65.9,2.9688,-0.6033,2.0123,35.041,120.2181,2.9688,2.1706,2.1706,84.3363,3.0373,1.9219,3.3957,30.1494,105.0898,3.0566,2.1654,3.8036,30.8475
2023/7/7,5,64,-1.6897,-0.7752,-1.6898,33.4724,115.588,-0.7752,-0.7752,-0.7752,79.0215,-1.1053,0.7105,-0.1637,28.2459,99.3501,-1.2074,1.0267,0.2434,29.1156
2023/7/6,4,65.1,-2.8358,0.4629,1.7187,37.4869,125.8286,0.9302,0.9302,0.9302,82.0984,-1.1106,1.526,1.7155,31.4696,105.975,-0.7258,1.9558,2.1088,32.5866
2023/7/5,3,67,-0.8876,5.8452,2.29,51.0711,130.8904,3.876,3.876,3.876,87.4131,-0.3956,5.1318,0.2437,43.5821,112.0239,-0.3406,5.3399,0.0626,44.574
2023/7/4,2,67.6,1.9608,6.7931,6.2892,52.424,125.8988,4.8062,4.8062,4.8062,89.0914,1.6297,5.2957,3.6922,44.4036,105.3344,1.5151,5.4252,3.7191,45.3412
2023/7/3,1,66.3,2.7907,1.0671,4.2452,49.4928,123.3357,2.7907,2.7907,2.7907,85.455,1.7936,0.9207,1.9868,41.8288,104.2249,1.8851,1.0228,2.1301,42.8851
