年月日,星期,未調整收盤價(元),日報酬率 %,近一週報酬率 %,近一月報酬率 %,近一季報酬率 %,近一年報酬率 %,本週以來報酬率 %,本月以來報酬率 %,本季以來報酬率 %,本年以來報酬率 %,超額報酬(日)-大盤,超額報酬(週)-大盤,超額報酬(月)-大盤,超額報酬(季)-大盤,超額報酬(年)-大盤,超額報酬(日)-MSCI,超額報酬(週)-MSCI,超額報酬(月)-MSCI,超額報酬(季)-MSCI
2023/07/20,4,94,-1.4675,-0.6342,6.0602,13.7333,60.161,-1.6736,-2.2375,-2.2375,44.1858,-1.7506,-1.2408,6.1767,4.4552,43.6567,-1.4736,-0.9857,6.3337,3.8446
2023/07/19,3,95.4,-0.2092,0,6.2525,14.6248,61.5352,-0.2092,-0.7815,-0.7815,46.3332,0.4378,-0.9103,7.1678,6.0902,45.0503,0.4234,-1.1748,7.1968,4.8725
2023/07/18,2,95.6,-2.9442,-3.3367,7.1658,16.0756,62.3789,0,-0.5735,-0.5735,46.64,-2.3305,-5.2835,7.5187,7.5156,45.3389,-2.3602,-5.6893,7.629,6.4906
2023/07/17,1,98.5,3.0335,0.1326,10.4167,17.9395,70.2258,3.0335,2.4427,2.4427,51.0883,2.7409,-3.9596,10.1543,9.3531,51.0952,2.8174,-4.6976,10.2952,8.4912
2023/07/14,5,95.6,1.0571,-2.8155,8.1008,15.9398,65.4767,-2.8155,-0.5735,-0.5735,46.64,-0.2459,-6.5329,7.8364,7.4382,45.7715,-0.3012,-7.3278,8.1726,6.593
2023/07/13,4,94.6,-0.8386,-1.9087,6.5054,13.7953,63.7458,-3.8321,-1.6135,-1.6135,45.1061,-1.4244,-3.6938,7.4069,5.8445,44.6411,-1.6652,-4.5231,7.9385,5.0107
2023/07/12,3,95.4,-3.5389,-0.2814,7.6398,21.3756,66.8899,-3.0188,-0.7814,-0.7814,46.3332,-3.9124,0.2721,7.6005,14.9171,45.3039,-4.0631,0.0929,7.8829,14.5698
2023/07/11,2,98.9,0.5392,2.55,9.9145,26.2935,71.1887,0.5392,2.8586,2.8586,51.7018,-0.9387,3.961,9.8403,20.1039,53.3487,-1.2833,3.9859,9.9159,20.26
2023/07/10,1,102,0,1.4926,9.325,24.8474,70.0145,0,2.307,2.307,50.8882,0.0685,4.0177,10.7083,19.9558,54.8862,0.0878,4.2612,11.1163,20.6539
2023/07/07,5,102,2,2.307,7.3686,25.0004,69.7591,2.307,2.307,2.307,50.8882,2.5844,3.7927,8.8947,19.7739,53.5212,2.4823,4.1089,9.3018,20.6436
2023/07/06,4,100,0.8065,0.0001,8.5778,25.6285,67.1836,0.301,0.301,0.301,47.9296,2.5317,1.0631,8.5747,19.6113,47.33,2.9165,1.4929,8.968,20.7283
2023/07/05,3,99.2,-0.8,6.0963,8.179,24.4671,63.8687,-0.5015,-0.5015,-0.5015,46.7461,-0.308,5.3829,6.1327,16.9781,45.0022,-0.253,5.591,5.9517,17.97
2023/07/04,2,100,-0.4975,7.0665,8.6958,25.4708,66.6807,0.3009,0.3009,0.3009,47.9296,-0.8286,5.5691,6.0988,17.4504,46.1163,-0.9432,5.6986,6.1256,18.388
2023/07/03,1,100.5,0.8024,8.8842,9.2393,26.0982,68.0195,0.8024,0.8024,0.8024,48.6692,-0.1947,8.7378,6.9809,18.4342,48.9088,-0.1032,8.8399,7.1242,19.4905
2023/06/30,5,99.7,-0.3,8.6058,9.8019,24.4697,62.7544,8.6058,9.3203,25.0944,47.4858,-0.1421,10.2733,8.0405,17.7434,48.6589,-0.1309,10.4175,8.5512,18.7861
2023/06/29,4,100,6.9519,8.9326,10.2538,26.4225,59.9462,8.9326,9.6493,25.4708,47.9295,6.9125,10.4446,8.4145,18.9874,48.7776,7.0763,10.5779,8.8695,19.9098
2023/06/28,3,93.5,0.1071,1.852,3.2011,16.7293,52.1849,1.852,2.5221,17.3152,38.3141,-0.1755,3.4028,0.5924,8.8695,42.498,-0.1994,3.3748,0.9975,9.5257
