年月日,星期,未調整收盤價(元),日報酬率 %,近一週報酬率 %,近一月報酬率 %,近一季報酬率 %,近一年報酬率 %,本週以來報酬率 %,本月以來報酬率 %,本季以來報酬率 %,本年以來報酬率 %,超額報酬(日)-大盤,超額報酬(週)-大盤,超額報酬(月)-大盤,超額報酬(季)-大盤,超額報酬(年)-大盤,超額報酬(日)-MSCI,超額報酬(週)-MSCI,超額報酬(月)-MSCI,超額報酬(季)-MSCI
2023/07/20,4,15.22,-0.0657,0.7279,1.4666,1.4666,1.4666,-0.1968,1.4666,1.4666,1.4666,-0.3488,0.1213,1.583,-7.8115,-15.0377,-0.0718,0.3765,1.74,-8.4222
2023/07/19,3,15.23,-0.5875,1.5333,1.5333,1.5333,1.5333,-0.1311,1.5333,1.5333,1.5333,0.0595,0.623,2.4486,-7.0013,-14.9516,0.0451,0.3585,2.4776,-8.219
2023/07/18,2,15.32,-0.0652,2.1333,2.1333,2.1333,2.1333,0.4591,2.1333,2.1333,2.1333,0.5485,0.1865,2.4862,-6.4267,-14.9066,0.5188,-0.2193,2.5965,-7.4517
2023/07/17,1,15.33,0.5246,2.1999,2.1999,2.1999,2.1999,0.5246,2.1999,2.1999,2.1999,0.232,-1.8923,1.9375,-6.3865,-16.9306,0.3085,-2.6302,2.0784,-7.2484
2023/07/14,5,15.25,0.9265,1.6666,1.6666,1.6666,1.6666,1.6666,1.6666,1.6666,1.6666,-0.3765,-2.0509,1.4022,-6.835,-18.0387,-0.4318,-2.8457,1.7384,-7.6802
2023/07/13,4,15.11,0.7333,0.7333,0.7333,0.7333,0.7333,0.7333,0.7333,0.7333,0.7333,0.1475,-1.0518,1.6348,-7.2175,-18.3713,-0.0933,-1.8811,2.1664,-8.0513
