年月日,星期,未調整收盤價(元),日報酬率 %,近一週報酬率 %,近一月報酬率 %,近一季報酬率 %,近一年報酬率 %,本週以來報酬率 %,本月以來報酬率 %,本季以來報酬率 %,本年以來報酬率 %,超額報酬(日)-大盤,超額報酬(週)-大盤,超額報酬(月)-大盤,超額報酬(季)-大盤,超額報酬(年)-大盤,超額報酬(日)-MSCI,超額報酬(週)-MSCI,超額報酬(月)-MSCI,超額報酬(季)-MSCI
2023/07/20,4,99,1.0204,-2.9412,-2.9412,7.9368,43.1932,-2.4631,-1.9803,-1.9803,34.0417,0.2935,-4.6494,-3.3841,2.5322,18.6341,1.0143,-3.2926,-2.6678,-1.9519
2023/07/19,3,98,-0.5076,-0.0001,-5.3141,7.2796,44.0611,-3.4483,-2.9704,-2.9704,32.6877,-0.3687,-0.7779,-4.8095,4.6499,19.1183,0.125,-1.1748,-4.3697,-2.4727
2023/07/18,2,98.5,-1.4014,-0.9056,-2.4754,8.5971,44.4031,-2.9557,-2.4753,-2.4753,33.3647,-0.522,-1.4734,-2.1893,5.7347,19.5525,-0.8174,-3.2582,-2.0122,-0.9879
2023/07/17,1,99.9,-1.5764,3.9541,-1.0892,9.2488,46.0592,-1.5764,-1.0892,-1.0892,35.2602,-1.9196,2.0069,-1.6878,5.9878,17.9363,-1.7925,-0.8761,-1.2108,-0.1995
2023/07/14,5,101.5,-0.4902,2.5251,0.9949,13.0584,49.8177,2.5251,0.495,0.495,37.4266,-2.153,1.371,0.5519,9.337,20.8858,-1.8485,-1.9872,1.0667,3.7116
2023/07/13,4,102,4.0816,2.4095,-0.0001,13.3815,52.4299,3.0302,0.9901,0.9901,38.1036,4.276,4.172,1.4995,11.0207,23.3822,3.255,-0.2049,1.433,4.5969
2023/07/12,3,98,-1.4085,-3.4483,-2.9704,11.811,46.8585,-1.0102,-2.9703,-2.9703,32.6878,-1.0615,-1.1595,-2.9747,9.7195,16.076,-1.9327,-3.0741,-2.7273,5.0051
2023/07/11,2,99.4,3.4339,0.4041,-6.6667,15.2335,42.2486,0.404,-1.5841,-1.5841,34.5834,2.9539,2.2789,-6.482,12.3591,14.7579,1.6114,1.84,-6.6652,9.2
2023/07/10,1,96.1,-2.9293,-3.8999,-9.7652,12.4942,36.6213,-2.9293,-4.8514,-4.8514,30.1154,-2.492,-1.7641,-9.1038,9.4328,10.1828,-2.8415,-1.1313,-7.9739,8.3007
2023/07/07,5,99,-0.6024,-1.9801,-7.4766,15.1404,40.3747,-1.9801,-1.9801,-1.9801,34.0419,0.6661,-1.0334,-7.3323,11.0092,11.2743,-0.1201,-0.1782,-5.5434,10.7837
2023/07/06,4,99.6,-1.8719,-1.3861,-7.7777,15.8382,40.8557,-1.3861,-1.3861,-1.3861,34.8542,-1.1428,-2.3295,-10.2308,9.9565,6.9481,0.2381,0.1068,-7.3876,10.938
2023/07/05,3,101.5,2.5253,-0.9756,-7.3059,18.4305,41.5052,0.4951,0.4951,0.4951,37.4267,2.4501,-3.5498,-10.1363,12.0018,10.8202,3.0723,-1.4808,-9.5333,11.9334
2023/07/04,2,99,-1,-3.8834,-6.6038,15.5134,38.9161,-1.9802,-1.9802,-1.9802,34.0418,-1.2127,-6.8051,-10.2659,9.1647,6.5716,-1.4457,-5.2513,-9.174,8.4306
2023/07/03,1,100,-0.9901,-4.7619,-5.6604,16.6802,39.7747,-0.9901,-0.9901,-0.9901,35.3957,-1.7626,-6.9812,-9.1025,10.5572,9.3521,-1.8957,-4.8062,-7.7754,10.0725
2023/06/30,5,101,0,-0.4926,7.4468,18.6156,41.7225,-0.4926,5.5382,17.847,36.7497,-0.6155,-1.0357,3.3421,13.0579,18.06,0.1691,1.3191,6.1962,12.9321
2023/06/29,4,101,-1.4634,-0.4926,7.3326,18.7447,40.6267,-0.4926,5.5382,17.847,36.7497,-2.3381,-0.4206,4.2815,12.9098,22.03,-1.339,1.1528,5.9484,12.232
2023/06/28,3,102.5,-0.4854,0.9852,9.275,21.3002,42.5315,0.9852,7.1055,19.5972,38.7806,-0.8995,1.9237,5.5567,16.6964,25.1134,-0.7919,2.5081,7.0715,14.0966
2023/06/27,2,103,-1.9048,0.9804,9.808,20.5712,41.7671,1.4778,7.628,20.1806,39.4575,-1.4337,2.6628,6.5175,17.8501,26.9354,-1.039,2.8456,7.9168,14.5885
2023/06/26,1,105,3.4483,1.4493,11.9402,22.7795,47.3353,3.4483,9.7179,22.5142,42.1655,4.3283,2.8869,8.1608,19.4223,29.2826,4.4146,3.1174,9.1591,16.7778
2023/06/21,3,101.5,-0.4902,0.9949,7.1804,18.9443,40.2386,0.495,6.0606,18.4304,37.4266,-0.1501,1.2904,0.8653,11.9599,23.6807,-0.4479,1.8301,0.3811,8.6394
2023/06/20,2,102,-1.4493,-0.0001,7.7084,21.1065,43.8732,0.99,6.5831,19.0138,38.1036,-1.2261,0.2587,1.0305,13.483,23.9555,-0.7826,0.8155,0.8639,10.0678
2023/06/19,1,103.5,2.4752,2.4752,9.2924,23.8401,41.5539,2.4752,8.1505,20.764,40.1346,2.3948,1.1819,2.3758,15.3437,25.4305,2.6251,0.5842,1.7308,12.7331
2023/06/16,5,101,-0.4926,-5.1643,5.5381,20.5818,36.4081,-5.1643,5.5382,17.8471,36.7497,-0.3365,-5.8345,-2.609,10.3518,21.757,-0.0746,-7.9917,-5.961,7.3663
2023/06/15,4,101.5,0.995,-6.0185,8.7887,33.2524,35.0575,-4.6949,6.0607,18.4304,37.4267,0.6503,-8.0299,-0.6271,23.9429,22.2043,0.5526,-10.313,-4.7152,20.6075
2023/06/14,3,100.5,-1.4706,-6.0747,1.515,31.9396,33.2347,-5.6338,5.0157,17.2637,36.0728,-1.1671,-6.6373,-6.4603,22.2245,21.1192,-1.4481,-8.6402,-11.3857,19.566
2023/06/13,2,102,0.9901,-5.5555,3.0302,31.1988,33.5842,-4.2253,6.5832,19.0139,38.1037,-0.3394,-7.7351,-5.2738,22.0981,21.4145,-1.0538,-9.2557,-9.8959,20.3779
2023/06/12,1,101,-5.1643,-7.7625,2.0201,31.1616,29.4503,-5.1643,5.5382,17.8471,36.7498,-4.629,-8.235,-4.8629,24.1903,21.7027,-5.932,-9.8555,-8.6442,22.153
2023/06/09,5,106.5,-1.3889,0.4717,13.1773,33.9569,36.8241,0.4717,11.2853,24.2645,44.1965,-2.563,-1.4351,7.3508,29.0042,28.2798,-2.3917,-0.6271,5.3442,27.4729
2023/06/08,4,108,0.9346,2.8572,11.5701,35.8436,41.1001,1.8868,12.8527,26.0147,46.2275,2.015,1.4637,8.4347,32.1089,32.9282,2.1573,1.3574,4.1953,30.6965
2023/06/07,3,107,-0.9259,11.8078,11.1109,39.1205,40.644,0.9434,11.8078,24.8479,44.8735,-2.2255,8.9509,6.8442,33.9101,30.9612,-2.0095,9.7564,1.8259,33.1593
2023/06/06,2,108,-1.3699,14.8936,12.1493,40.7595,41.9584,1.8868,12.8527,26.0146,46.2274,-1.0064,12.9503,9.2202,36.7265,33.7682,-1.8322,14.5942,4.0359,35.3
2023/06/05,1,109.5,3.3019,16.3656,13.707,41.689,44.1054,3.3019,14.4201,27.7649,48.2584,2.4172,14.4625,10.4024,35.8861,35.6062,3.5154,16.5651,6.091,35.5911
2023/06/02,5,106,0.9524,13.0064,13.7337,40.8717,39.4993,13.0064,10.7629,23.6811,43.5195,0.2879,10.4537,11.0168,35.7033,31.9515,-0.451,12.3095,5.9419,34.6593
2023/06/01,4,105,9.7179,11.5834,11.5832,40.2326,39.3716,11.9403,9.7179,22.5142,42.1655,9.3706,9.4917,8.0527,35.5313,32.9117,10.4038,10.103,5.0309,35.7323
2023/05/31,3,95.7,1.8085,2.0255,1.7001,28.447,27.4971,2.0255,1.7001,11.6629,29.5737,1.4087,0.4403,-1.4721,23.5406,20.8345,2.4603,-1.5107,-5.5881,21.9748
2023/05/30,2,94,-0.1063,-0.7393,-0.1064,26.1653,24.9242,0.2132,-0.1064,9.6794,27.272,0.2965,-1.6164,-2.8678,21.6766,17.968,-0.0689,-4.4844,-8.0985,18.9946
2023/05/29,1,94.1,0.3198,-0.7385,-0.0001,26.2996,25.0571,0.3198,-0.0001,9.7961,27.4074,-1.208,-2.9583,-3.1771,21.3883,15.3724,-0.3629,-4.4989,-8.0326,19.0888
2023/05/26,5,93.8,-0.3188,-0.9504,7.816,25.897,26.6842,-0.9504,-0.3189,9.4461,27.0013,-0.5308,-2.4922,3.9996,22.5644,16.6438,-2.5112,-3.8558,-1.044,19.4131
2023/05/25,4,94.1,0.3198,-2.9897,2.1821,26.2996,24.9035,-0.6337,-0.0001,9.7961,27.4074,0.4703,-4.0466,-1.4855,23.1856,15.863,-1.0063,-4.1038,-3.9635,22.1002
2023/05/24,3,93.8,-0.9504,-2.8985,3.521,25.897,24.0482,-0.9504,-0.3189,9.4461,27.0013,-0.6503,-4.4267,2.2539,22.6276,13.6525,-0.499,-3.9942,0.4664,23.0613
